name,parameters,memory,cpu_time,elapsed_time,sum_occurrences,occurrences,lex_entropy,individual_entropy,combined_entropy,entropy_sum,degree_of_monomials,length_of_counter,total_count,entropy,counter_string
transcendence_dc_2_entropy_heuristic.mpl,"['[Lam, n]']",453308000,29.91,4.36,40.000000,"[Lam = 1, n = 39]","{'Lam': 0.0, 'n': 5.25858363572447}","{'Lam': 0.0, 'n': 5.321928094887363}","[(0.0, 0.0), (5.321928094887363, 5.25858363572447)]",5.258584,103.000000,193.000000,198.000000,-5.240623,"5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_1_entropy_heuristic.mpl,"['[Lam, b]']",516168000,25.52,4.67,65.000000,"[Lam = 1, b = 64]","{'Lam': 0.0, 'b': 5.985105394988819}","{'Lam': 0.0, 'b': 6.0}","[(0.0, 0.0), (6.0, 5.985105394988819)]",5.985105,222.000000,194.000000,198.000000,-5.247625,"5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_30_entropy_heuristic.mpl,"['[n, s_7]']",532380000,35.79,5.22,41.000000,"[s_7 = 1, n = 40]","{'s_7': 0.0, 'n': 5.294632444175843}","{'s_7': 1.0, 'n': 5.321928094887363}","[(1.0, 0.0), (5.321928094887363, 5.294632444175843)]",5.294632,106.000000,193.000000,198.000000,-5.233971,"6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_21_entropy_heuristic.mpl,"['[b, s_7]']",475444000,26.87,4.77,65.000000,"[s_7 = 1, b = 64]","{'s_7': 0.0, 'b': 5.985105394988819}","{'s_7': 1.0, 'b': 6.0}","[(1.0, 0.0), (6.0, 5.985105394988819)]",5.985105,222.000000,193.000000,198.000000,-5.240623,"5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_20_entropy_heuristic.mpl,"['[b, s_6]']",479512000,31.59,6.95,66.000000,"[s_6 = 2, b = 64]","{'s_6': 0.9709505944546686, 'b': 5.985105394988819}","{'s_6': 2.321928094887362, 'b': 6.0}","[(2.321928094887362, 0.9709505944546686), (6.0, 5.985105394988819)]",6.956056,225.000000,193.000000,198.000000,-5.240623,"5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_29_entropy_heuristic.mpl,"['[n, s_6]']",1047892000,50.39,6.8,43.000000,"[s_6 = 3, n = 40]","{'s_6': 1.5709505944546684, 'n': 5.294632444175843}","{'s_6': 2.321928094887362, 'n': 5.321928094887363}","[(2.321928094887362, 1.5709505944546684), (5.321928094887363, 5.294632444175843)]",6.865583,113.000000,193.000000,198.000000,-5.233971,"6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_19_entropy_heuristic.mpl,"['[b, s_5]']",479280000,26.20,4.53,66.000000,"[s_5 = 2, b = 64]","{'s_5': 0.9709505944546686, 'b': 5.985105394988819}","{'s_5': 2.807354922057604, 'b': 6.0}","[(2.807354922057604, 0.9709505944546686), (6.0, 5.985105394988819)]",6.956056,225.000000,193.000000,198.000000,-5.240623,"5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_28_entropy_heuristic.mpl,"['[n, s_5]']",1066272000,51.74,6.65,45.000000,"[s_5 = 5, n = 40]","{'s_5': 2.3071885761626687, 'n': 5.294632444175843}","{'s_5': 2.807354922057604, 'n': 5.321928094887363}","[(2.807354922057604, 2.3071885761626687), (5.321928094887363, 5.294632444175843)]",7.601821,120.000000,193.000000,198.000000,-5.233971,"6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_18_entropy_heuristic.mpl,"['[b, s_4]']",480656000,26.40,4.39,66.000000,"[s_4 = 2, b = 64]","{'s_4': 0.9709505944546686, 'b': 5.985105394988819}","{'s_4': 3.169925001442312, 'b': 6.0}","[(3.169925001442312, 0.9709505944546686), (6.0, 5.985105394988819)]",6.956056,225.000000,193.000000,198.000000,-5.240623,"5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
transcendence_dc_27_entropy_heuristic.mpl,"['[n, s_4]']",1073116000,54.69,7.37,47.000000,"[s_4 = 7, n = 40]","{'s_4': 2.792481250360578, 'n': 5.294632444175843}","{'s_4': 3.169925001442312, 'n': 5.321928094887363}","[(3.169925001442312, 2.792481250360578), (5.321928094887363, 5.294632444175843)]",8.087114,127.000000,193.000000,198.000000,-5.233971,"6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
